ID,Script Name,Description,Uniqueness Group,Icon,Min Rank,Max Rank,Goal,50+ Goal,Reward,Script Params,Single Run,Element,Specific Skylander,Unlocked Skylander,Unlocked Magic Item,Has Magic Item With Level,Using Bonus Element,Specific Magic Item,Is Magic Item Of Level,Shoot Enemy,Shoot Hat,Shoot Balloon,Shoot Destructible,Shoot Projectile,Shoot Sheep,Shoot Present,Is Hideout,Combo Coin Element
0,Manual,GOAL_TUTORIAL_BASICS,ClearRoom,ClearRoom,0,0,1,0,3,TutorialComplete,,,,,,,,,,,,,,,,,,
1,UseMagicItem,GOAL_TUTORIAL_MAGIC_ITEM,UseMagicItem,MagicItems,0,0,3,0,1,,,,,,,,,,,,,,,,,,,
2,Combo,GOAL_TUTORIAL_COMBO,Combo,MaxCombo,0,0,2,0,1,6,,,,,,,,,,,,,,,,,,
3,Shoot,GOAL_SHOOT_TROLLS,ShootTroll,Trolls,0,4,10,100,1,,,,,,,,,,,Any,,,,,,,,
4,Shoot,GOAL_SHOOT_TROLLS,ShootTroll,Trolls,5,15,20,200,1,,,,,,,,,,,Any,,,,,,,,
5,Shoot,GOAL_SHOOT_TROLLS,ShootTroll,Trolls,10,20,30,300,1,,,,,,,,,,,Any,,,,,,,,
6,Shoot,GOAL_SHOOT_TROLLS,ShootTroll,Trolls,15,25,40,400,1,,,,,,,,,,,Any,,,,,,,,
7,Shoot,GOAL_SHOOT_TROLLS,ShootTroll,Trolls,20,30,50,500,1,,,,,,,,,,,Any,,,,,,,,
8,Shoot,GOAL_SHOOT_TROLLS,ShootTroll,Trolls,25,35,75,750,1,,,,,,,,,,,Any,,,,,,,,
9,Shoot,GOAL_SHOOT_TROLLS,ShootTroll,Trolls,30,40,100,1000,1,,,,,,,,,,,Any,,,,,,,,
10,Shoot,GOAL_SHOOT_TROLLS,ShootTroll,Trolls,35,45,150,1500,1,,,,,,,,,,,Any,,,,,,,,
11,Shoot,GOAL_SHOOT_TROLLS,ShootTroll,Trolls,40,50,200,2000,1,,,,,,,,,,,Any,,,,,,,,
12,Shoot,GOAL_SHOOT_TROLLS,ShootTroll,Trolls,45,50,250,2500,1,,,,,,,,,,,Any,,,,,,,,
13,Shoot,GOAL_SHOOT_TROLLS,ShootTroll,Trolls,999,999,350,3000,2,,,,,,,,,,,Any,,,,,,,,
14,Shoot,GOAL_SHOOT_TROLLS_ONE_RUN,ShootTroll,Trolls,5,15,10,20,1,,X,,,,,,,,,Any,,,,,,,,
15,Shoot,GOAL_SHOOT_TROLLS_ONE_RUN,ShootTroll,Trolls,10,20,20,40,2,,X,,,,,,,,,Any,,,,,,,,
16,Shoot,GOAL_SHOOT_TROLLS_ONE_RUN,ShootTroll,Trolls,20,30,30,60,3,,X,,,,,,,,,Any,,,,,,,,
17,Shoot,GOAL_SHOOT_TROLLS_ONE_RUN,ShootTroll,Trolls,30,40,40,80,1,,X,,,,,,,,,Any,,,,,,,,
18,Shoot,GOAL_SHOOT_TROLLS_ONE_RUN,ShootTroll,Trolls,40,50,50,100,2,,X,,,,,,,,,Any,,,,,,,,
19,Shoot,GOAL_SHOOT_TROLLS_ONE_RUN,ShootTroll,Trolls,999,999,75,150,3,,X,,,,,,,,,Any,,,,,,,,
20,Survive,GOAL_CLEAR_AREAS,ClearRoom,ClearRoom,0,4,25,200,2,,,,,,,,,,,,,,,,,,,
21,Survive,GOAL_CLEAR_AREAS,ClearRoom,ClearRoom,5,15,50,300,1,,,,,,,,,,,,,,,,,,,
22,Survive,GOAL_CLEAR_AREAS,ClearRoom,ClearRoom,10,20,75,400,1,,,,,,,,,,,,,,,,,,,
23,Survive,GOAL_CLEAR_AREAS,ClearRoom,ClearRoom,15,25,100,500,1,,,,,,,,,,,,,,,,,,,
24,Survive,GOAL_CLEAR_AREAS,ClearRoom,ClearRoom,20,30,150,600,1,,,,,,,,,,,,,,,,,,,
25,Survive,GOAL_CLEAR_AREAS,ClearRoom,ClearRoom,25,35,200,700,1,,,,,,,,,,,,,,,,,,,
26,Survive,GOAL_CLEAR_AREAS,ClearRoom,ClearRoom,30,40,250,800,1,,,,,,,,,,,,,,,,,,,
27,Survive,GOAL_CLEAR_AREAS,ClearRoom,ClearRoom,40,50,300,900,1,,,,,,,,,,,,,,,,,,,
28,Survive,GOAL_CLEAR_AREAS,ClearRoom,ClearRoom,999,999,350,1000,3,,,,,,,,,,,,,,,,,,,
29,Survive,GOAL_CLEAR_AREAS_ONE_RUN,ClearRoom,ClearRoom,0,4,5,10,1,,X,,,,,,,,,,,,,,,,,
30,Survive,GOAL_CLEAR_AREAS_ONE_RUN,ClearRoom,ClearRoom,5,15,10,20,1,,X,,,,,,,,,,,,,,,,,
31,Survive,GOAL_CLEAR_AREAS_ONE_RUN,ClearRoom,ClearRoom,10,20,15,30,1,,X,,,,,,,,,,,,,,,,,
32,Survive,GOAL_CLEAR_AREAS_ONE_RUN,ClearRoom,ClearRoom,15,25,20,40,1,,X,,,,,,,,,,,,,,,,,
33,Survive,GOAL_CLEAR_AREAS_ONE_RUN,ClearRoom,ClearRoom,20,30,25,50,1,,X,,,,,,,,,,,,,,,,,
34,Survive,GOAL_CLEAR_AREAS_ONE_RUN,ClearRoom,ClearRoom,25,35,30,60,1,,X,,,,,,,,,,,,,,,,,
35,Survive,GOAL_CLEAR_AREAS_ONE_RUN,ClearRoom,ClearRoom,30,40,35,65,1,,X,,,,,,,,,,,,,,,,,
36,Survive,GOAL_CLEAR_AREAS_ONE_RUN,ClearRoom,ClearRoom,40,50,40,70,1,,X,,,,,,,,,,,,,,,,,
37,Survive,GOAL_CLEAR_AREAS_ONE_RUN,ClearRoom,ClearRoom,999,999,45,75,3,,X,,,,,,,,,,,,,,,,,
38,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,0,4,5,50,1,,,,,,,,,,,,,,Crate,,,,,
39,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,5,15,10,100,2,,,,,,,,,,,,,,Crate,,,,,
40,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,10,20,15,150,1,,,,,,,,,,,,,,Crate,,,,,
41,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,15,25,25,250,2,,,,,,,,,,,,,,Crate,,,,,
42,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,20,30,35,350,1,,,,,,,,,,,,,,Crate,,,,,
43,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,25,35,50,500,2,,,,,,,,,,,,,,Crate,,,,,
44,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,30,40,75,750,1,,,,,,,,,,,,,,Crate,,,,,
45,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,35,45,100,1000,2,,,,,,,,,,,,,,Crate,,,,,
46,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,40,50,125,1250,2,,,,,,,,,,,,,,Crate,,,,,
47,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,45,50,150,1500,2,,,,,,,,,,,,,,Crate,,,,,
48,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,50,50,175,1750,2,,,,,,,,,,,,,,Crate,,,,,
49,Shoot,GOAL_DESTROY_CRATES,ShootCrate,Crate,999,999,200,2000,2,,,,,,,,,,,,,,Crate,,,,,
50,Shoot,GOAL_DESTROY_CRATES_ONE_RUN,ShootCrate,Crate,5,15,2,3,1,,X,,,,,,,,,,,,Crate,,,,,
51,Shoot,GOAL_DESTROY_CRATES_ONE_RUN,ShootCrate,Crate,10,20,4,7,1,,X,,,,,,,,,,,,Crate,,,,,
52,Shoot,GOAL_DESTROY_CRATES_ONE_RUN,ShootCrate,Crate,15,25,6,10,1,,X,,,,,,,,,,,,Crate,,,,,
53,Shoot,GOAL_DESTROY_CRATES_ONE_RUN,ShootCrate,Crate,20,30,8,13,1,,X,,,,,,,,,,,,Crate,,,,,
54,Shoot,GOAL_DESTROY_CRATES_ONE_RUN,ShootCrate,Crate,25,35,10,17,1,,X,,,,,,,,,,,,Crate,,,,,
55,Shoot,GOAL_DESTROY_CRATES_ONE_RUN,ShootCrate,Crate,30,40,12,20,1,,X,,,,,,,,,,,,Crate,,,,,
56,Shoot,GOAL_DESTROY_CRATES_ONE_RUN,ShootCrate,Crate,35,45,14,23,1,,X,,,,,,,,,,,,Crate,,,,,
57,Shoot,GOAL_DESTROY_CRATES_ONE_RUN,ShootCrate,Crate,40,50,16,27,1,,X,,,,,,,,,,,,Crate,,,,,
58,Shoot,GOAL_DESTROY_CRATES_ONE_RUN,ShootCrate,Crate,45,50,18,30,1,,X,,,,,,,,,,,,Crate,,,,,
59,Shoot,GOAL_DESTROY_CRATES_ONE_RUN,ShootCrate,Crate,50,50,20,33,2,,X,,,,,,,,,,,,Crate,,,,,
60,Shoot,GOAL_DESTROY_CRATES_ONE_RUN,ShootCrate,Crate,999,999,25,37,3,,X,,,,,,,,,,,,Crate,,,,,
61,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,0,4,10,25,1,,,,,,,,,,,,,,Barrel,,,,,
62,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,5,15,25,50,2,,,,,,,,,,,,,,Barrel,,,,,
63,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,10,20,50,100,1,,,,,,,,,,,,,,Barrel,,,,,
64,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,15,25,75,150,2,,,,,,,,,,,,,,Barrel,,,,,
65,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,20,30,100,200,1,,,,,,,,,,,,,,Barrel,,,,,
66,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,25,35,125,250,2,,,,,,,,,,,,,,Barrel,,,,,
67,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,30,40,150,300,1,,,,,,,,,,,,,,Barrel,,,,,
68,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,35,45,175,400,2,,,,,,,,,,,,,,Barrel,,,,,
69,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,40,50,200,500,2,,,,,,,,,,,,,,Barrel,,,,,
70,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,45,50,225,600,2,,,,,,,,,,,,,,Barrel,,,,,
71,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,50,50,250,700,2,,,,,,,,,,,,,,Barrel,,,,,
72,Shoot,GOAL_DESTROY_BARRELS,ShootBarrel,Barrel,999,999,300,750,2,,,,,,,,,,,,,,Barrel,,,,,
73,Shoot,GOAL_DESTROY_BARRELS_ONE_RUN,ShootBarrel,Barrel,5,15,4,8,1,,X,,,,,,,,,,,,Barrel,,,,,
74,Shoot,GOAL_DESTROY_BARRELS_ONE_RUN,ShootBarrel,Barrel,10,20,6,12,1,,X,,,,,,,,,,,,Barrel,,,,,
75,Shoot,GOAL_DESTROY_BARRELS_ONE_RUN,ShootBarrel,Barrel,15,25,8,16,1,,X,,,,,,,,,,,,Barrel,,,,,
