ID,Leaderboard ID,Start Time (seconds from load),Active Duration (s),Inactive Duration (s),Invalid Duration (s),Number Of Resets,Name,Description,Script Type,Script Parameters,Lifetime,Bronze Goal,Silver Goal,Gold Goal,LB Type,Facebook Metadata URL,Goal Noun,Goal Is Time
0,2,1343779200,432000,259200,1382400,50,SHOWDOWN_NAME_TROLLPOCALYPSE,SHOWDOWN_DESC_TROLLPOCALYPSE,TotalTrolls,,1,100,300,1000,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_0.php,SHOWDOWN_NOUN_TROLLS,FALSE
1,3,1343865600,432000,259200,1382400,50,SHOWDOWN_NAME_PERFECT_RUN,SHOWDOWN_DESC_PERFECT_RUN,OneRunPoints,,1,20000,500000,2000000,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_1.php,SHOWDOWN_NOUN_POINTS,FALSE
2,4,1343952000,432000,259200,1382400,50,SHOWDOWN_NAME_HAT_HUSTLER,SHOWDOWN_DESC_HAT_HUSTLER,TimedHats,,300,15,30,45,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_2.php,SHOWDOWN_NOUN_HATS,FALSE
3,5,1344038400,432000,259200,1382400,50,SHOWDOWN_NAME_SPEEP_SNIPER,SHOWDOWN_DESC_SPEEP_SNIPER,RaceBonusRooms,,2,1200,300,180,MinOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_3.php,SHOWDOWN_NOUN_SECONDS,TRUE
4,6,1344124800,432000,259200,1382400,50,SHOWDOWN_NAME_BOMB_SQUAD,SHOWDOWN_DESC_BOMB_SQUAD,RaceBombKill,,20,1200,300,180,MinOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_4.php,SHOWDOWN_NOUN_SECONDS,TRUE
5,7,1344211200,432000,259200,1382400,50,SHOWDOWN_NAME_OH_SHINY,SHOWDOWN_DESC_OH_SHINY,TotalElementalCoins,,2,20,50,150,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_5.php,SHOWDOWN_NOUN_COINS,FALSE
6,8,1344297600,432000,259200,1382400,50,SHOWDOWN_NAME_FAVORITE_NUMBER,SHOWDOWN_DESC_FAVORITE_NUMBER,OneRunClosestToScore,123456,1,10000,2000,500,MinOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_6.php,SHOWDOWN_NOUN_POINTS,FALSE
7,9,1344384000,432000,259200,1382400,50,SHOWDOWN_NAME_THE_SLOG,SHOWDOWN_DESC_THE_SLOG,TotalAreasCleared,,1,50,200,500,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_7.php,SHOWDOWN_NOUN_AREAS,FALSE
8,10,1344470400,432000,259200,1382400,50,SHOWDOWN_NAME_PARTY_POOPER,SHOWDOWN_DESC_PARTY_POOPER,TimedBalloonPop,,900,20,50,150,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_8.php,SHOWDOWN_NOUN_BALLOONS,FALSE
9,11,1344556800,432000,259200,1382400,50,SHOWDOWN_NAME_COMBO_CRUNCH,SHOWDOWN_DESC_COMBO_CRUNCH,RaceComboCoins,,100,900,600,300,MinOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_9.php,SHOWDOWN_NOUN_SECONDS,TRUE
10,12,1344643200,432000,259200,1382400,50,SHOWDOWN_NAME_SHOT_SHOOTER,SHOWDOWN_DESC_SHOT_SHOOTER,RaceProjectiles,,50,900,600,300,MinOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_10.php,SHOWDOWN_NOUN_SECONDS,TRUE
11,13,1344729600,432000,259200,1382400,50,SHOWDOWN_NAME_MAGICIAN,SHOWDOWN_DESC_MAGICIAN,TimedMagicItemPoints,,900,10000,150000,950000,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_11.php,SHOWDOWN_NOUN_POINTS,FALSE
12,14,1344816000,432000,259200,1382400,50,SHOWDOWN_NAME_CAPT_COMBO,SHOWDOWN_DESC_CAPT_COMBO,TimedMaxCombos,,600,5,20,50,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_12.php,SHOWDOWN_NOUN_COMBOS,FALSE
13,15,1344902400,432000,259200,1382400,50,SHOWDOWN_NAME_27_PROBLEMS,SHOWDOWN_DESC_27_PROBLEMS,TotalDieInRoom,27,1,1,5,10,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_13.php,SHOWDOWN_NOUN_DEATHS,FALSE
14,16,1344988800,432000,259200,1382400,50,SHOWDOWN_NAME_OUT_TO_PASTURE,SHOWDOWN_DESC_OUT_TO_PASTURE,TimedSheepShoot,,600,10,25,50,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_14.php,SHOWDOWN_NOUN_SHEEP,FALSE
15,17,1345075200,432000,259200,1382400,50,SHOWDOWN_NAME_SCROOGE,SHOWDOWN_DESC_SCROOGE,OneRunCoins,,1,300,1200,4000,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_15.php,SHOWDOWN_NOUN_COINS,FALSE
16,18,1345161600,432000,259200,1382400,50,SHOWDOWN_NAME_PROTECT_THIS,SHOWDOWN_DESC_PROTECT_THIS,TimedProtectorTrolls,,1800,5,20,50,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_16.php,SHOWDOWN_NOUN_TROLLS,FALSE
17,19,1345248000,432000,259200,1382400,50,SHOWDOWN_NAME_MAD_MAX,SHOWDOWN_DESC_MAD_MAX,OneRunMaxCombos,,1,5,30,60,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_17.php,SHOWDOWN_NOUN_COMBOS,FALSE
18,20,1345334400,432000,259200,1382400,50,SHOWDOWN_NAME_WIZARD_WACE,SHOWDOWN_DESC_WIZARD_WACE,TotalWizardTrolls,,1,10,30,50,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_18.php,SHOWDOWN_NOUN_TROLLS,FALSE
19,21,1345420800,432000,259200,1382400,50,SHOWDOWN_NAME_THE_DISTANCE,SHOWDOWN_DESC_THE_DISTANCE,OneRunAreasClearedChallenge,,1,20,40,100,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_19.php,SHOWDOWN_NOUN_AREAS,FALSE
20,22,1345507200,432000,259200,1382400,50,SHOWDOWN_NAME_WALK_THE_LINE,SHOWDOWN_DESC_WALK_THE_LINE,TotalShipProjectiles,,1,1,20,75,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_20.php,SHOWDOWN_NOUN_PROJECTILES,FALSE
21,23,1345593600,432000,259200,1382400,50,SHOWDOWN_NAME_BAD_NEWS,SHOWDOWN_DESC_BAD_NEWS,ClearAreasBeforeSheep,,1,10,50,150,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_21.php,SHOWDOWN_NOUN_AREAS,FALSE
22,24,1345680000,432000,259200,1382400,50,SHOWDOWN_NAME_SWORDLESS,SHOWDOWN_DESC_SWORDLESS,MostPointsBeforeGhostSwords,,1,25000,250000,700000,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_22.php,SHOWDOWN_NOUN_POINTS,FALSE
23,25,1345766400,432000,259200,1382400,50,SHOWDOWN_NAME_PROFIT_PARTY,SHOWDOWN_DESC_PROFIT_PARTY,ComboCoinsBeforeBalloon,,1,10,50,200,MaxOnTop,https://activate.amp.demonware.net/OpenGraph/cloudpatrol/Challenge_23.php,SHOWDOWN_NOUN_COINS,FALSE
