Loc Tag,"German"
LOADINGPANEL_LOAD,"Lädt ..."
HELP_OPTIONS,"Hilfe-Optionen"
HELP_TUTORIAL,"Tutorial spielen"
HELP_HELP,"Hilfe"
TITLE_PLAY,"Start"
HELP_CREDITS,"Credits"
HEADER_HIGH_SCORE,"Highscore {0}"
HEADER_FINALSCORE,"Punkte {0}"
TAB_GOALS,"Ziele"
TAB_CHALLENGES,"Herausforderungen"
LOADOUT_COLLECTION,"Sammlung"
SALETAG_SALE,"Aktion!"
LOADOUT_PLAY,"Start"
FOOTER_EOTD_NAG,"Das Element des Tages ist {0}. Benutze {0}-Skylander für einen Münzen-Bonus!"
HEADER_BACK,"Zurück"
SHOWDOWN_BUTTON_JOIN,"Beitritt"
SHOWDOWN_BUTTON_PLAYING,"Spielt"
SHOWDOWN_BUTTON_RETRY,"Nochmal"
GENERIC_LEFT,"übrig"
SHOWDOWN_CURRENT_SCORE,"Aktuell: {0}"
SHOWDOWN_BEST_SCORE,"Rekord: {0}"
GOAL_SKIP_PROMPT,"Weiter für {0}"
TAB_GOALS_INSTRUCTIONS,"Zum Überspringen Ziel berühren"
SHOWDOWNS_LOGGING_IN,"Anmeldung ..."
GOAL_TUTORIAL_BASICS,"Erlerne die Grundlagen."
GOAL_TUTORIAL_MAGIC_ITEM,"Benutze ein beliebiges magisches Objekt {goal}-mal."
GOAL_TUTORIAL_COMBO,"Schaffe {goal} max .Kombos."
GOAL_SHOOT_TROLLS,"Triff {goal} Trolle."
GOAL_SHOOT_TROLLS_ONE_RUN,"Triff {goal} Trolle in einem Lauf."
GOAL_CLEAR_AREAS,"Räume {goal} Gebiete."
GOAL_CLEAR_AREAS_ONE_RUN,"Räume {goal} Gebiete in einem Lauf."
GOAL_DESTROY_CRATES,"Zerstöre {goal} Kisten."
GOAL_DESTROY_CRATES_ONE_RUN,"Zerstöre {goal} Kisten in einem Lauf."
GOAL_DESTROY_BARRELS,"Zerstöre {goal} Fässer."
GOAL_DESTROY_BARRELS_ONE_RUN,"Zerstöre {goal} Fässer in einem Lauf."
GOAL_POP_BALLOONS,"Bring {goal} Ballons zum Platzen."
GOAL_POP_BALLOONS_ONE_RUN,"Bring {goal} Ballons in einem Lauf zum Platzen."
GOAL_SHOOT_HATS,"Triff {goal} Hüte."
GOAL_SHOOT_HATS_ONE_RUN,"Triff {goal} Hüte in einem Lauf."
GOAL_SHOOT_SHEEP,"Triff {goal} Schafe."
GOAL_SHOOT_SHEEP_ONE_RUN,"Triff {goal} Schafe in einem Lauf."
GOAL_SHOOT_PROJECTILES,"Triff {goal} Geschosse."
GOAL_SHOOT_PROJECTILES_ONE_RUN,"Triff {goal} Geschosse in einem Lauf."
GOAL_SHOOT_PRESENTS,"Triff {goal} Geschenke."
GOAL_SHOOT_PRESENTS_ONE_RUN,"Triff {goal} Geschenke in einem Lauf."
GOAL_SHOOT_TROLLS_FLYING,"Triff {goal} fliegende Trolle."
GOAL_SHOOT_TROLLS_FLYING_ONE_RUN,"Triff {goal} fliegende Trolle in einem Lauf."
GOAL_SHOOT_VASES,"Zerbrich {goal} Vasen."
GOAL_SHOOT_VASES_ONE_RUN,"Zerbrich {goal} Vasen in einem Lauf."
GOAL_CLEAR_HIDEOUT,"Räume ein Versteck."
GOAL_CLEAR_HIDEOUTS,"Räume {goal} Verstecke."
GOAL_CLEAR_HIDEOUTS_ONE_RUN,"Räume {goal} Verstecke in einem Lauf."
