Loc Tag,"English"
LOADINGPANEL_LOAD,"Loading..."
HELP_OPTIONS,"Help Options"
HELP_TUTORIAL,"Play Tutorial"
HELP_HELP,"Get Help"
TITLE_PLAY,"Play"
HELP_CREDITS,"Credits"
HEADER_HIGH_SCORE,"High Score {0}"
HEADER_FINALSCORE,"Score {0}"
TAB_GOALS,"Goals"
TAB_CHALLENGES,"Challenges"
LOADOUT_COLLECTION,"COLLECTION"
SALETAG_SALE,"Sale!"
LOADOUT_PLAY,"Play"
FOOTER_EOTD_NAG,"The Element of the Day is {0}. Use {0} Skylanders for a coin bonus!"
HEADER_BACK,"Back"
SHOWDOWN_BUTTON_JOIN,"Join"
SHOWDOWN_BUTTON_PLAYING,"Playing"
SHOWDOWN_BUTTON_RETRY,"Retry"
GENERIC_LEFT,"left"
SHOWDOWN_CURRENT_SCORE,"Current: {0}"
SHOWDOWN_BEST_SCORE,"Best: {0}"
GOAL_SKIP_PROMPT,"Skip for {0}"
TAB_GOALS_INSTRUCTIONS,"Tap a goal above to skip"
SHOWDOWNS_LOGGING_IN,"Logging In..."
GOAL_TUTORIAL_BASICS,"Learn the basics."
GOAL_TUTORIAL_MAGIC_ITEM,"Use any Magic Item {goal} times."
GOAL_TUTORIAL_COMBO,"Get {goal} Max Combos."
GOAL_SHOOT_TROLLS,"Shoot {goal} trolls."
GOAL_SHOOT_TROLLS_ONE_RUN,"Shoot {goal} trolls in one run."
GOAL_CLEAR_AREAS,"Clear {goal} areas."
GOAL_CLEAR_AREAS_ONE_RUN,"Clear {goal} areas in one run."
GOAL_DESTROY_CRATES,"Destroy {goal} crates."
GOAL_DESTROY_CRATES_ONE_RUN,"Destroy {goal} crates in one run."
GOAL_DESTROY_BARRELS,"Destroy {goal} barrels."
GOAL_DESTROY_BARRELS_ONE_RUN,"Destroy {goal} barrels in one run."
GOAL_POP_BALLOONS,"Pop {goal} balloons."
GOAL_POP_BALLOONS_ONE_RUN,"Pop {goal} balloons in one run."
GOAL_SHOOT_HATS,"Shoot {goal} hats."
GOAL_SHOOT_HATS_ONE_RUN,"Shoot {goal} hats in one run."
GOAL_SHOOT_SHEEP,"Shoot {goal} sheep."
GOAL_SHOOT_SHEEP_ONE_RUN,"Shoot {goal} sheep in one run."
GOAL_SHOOT_PROJECTILES,"Shoot {goal} projectiles."
GOAL_SHOOT_PROJECTILES_ONE_RUN,"Shoot {goal} projectiles in one run."
GOAL_SHOOT_PRESENTS,"Shoot {goal} presents."
GOAL_SHOOT_PRESENTS_ONE_RUN,"Shoot {goal} presents in one run."
GOAL_SHOOT_TROLLS_FLYING,"Shoot {goal} flying trolls."
GOAL_SHOOT_TROLLS_FLYING_ONE_RUN,"Shoot {goal} flying trolls in one run."
GOAL_SHOOT_VASES,"Break {goal} vases."
GOAL_SHOOT_VASES_ONE_RUN,"Break {goal} vases in one run."
GOAL_CLEAR_HIDEOUT,"Clear a hideout."
GOAL_CLEAR_HIDEOUTS,"Clear {goal} hideouts."
GOAL_CLEAR_HIDEOUTS_ONE_RUN,"Clear {goal} hideouts in one run."
GOAL_USE_ANY_MAGIC_ITEM,"Use a Magic Item {goal} times."
GOAL_USE_ANY_MAGIC_ITEM_ONE_RUN,"Use a Magic Item {goal} times in one run."
GOAL_USE_SPECIFIC_MAGIC_ITEM,"Use the {magicItem} Magic Item."
GOAL_USE_MIN_LEVEL_MAGIC_ITEM,"Use any level {level} or higher Magic Item."
GOAL_GET_COMBOS,"Get {goal} {combo}x Combos."
GOAL_GET_MAX_COMBOS,"Get {goal} Max Combos."
GOAL_GET_COMBOS_ONE_RUN,"Get {goal} {combo}x Combos in one run."
GOAL_GET_MAX_COMBOS_ONE_RUN,"Get {goal} Max Combos in one run."
GOAL_GET_MIN_COMBOS,"Get {goal} {combo}x or higher Combos."
GOAL_GET_MIN_COMBOS_ONE_RUN,"Get {goal} {combo}x or higher Combos in one run."
GOAL_COLLECT_COINS,"Collect {goal} coins."
GOAL_COLLECT_COINS_ONE_RUN,"Collect {goal} coins in one run."
GOAL_TAP_TROLLS,"Tap-Shoot {goal} trolls."
GOAL_TAP_TROLLS_ONE_RUN,"Tap-Shoot {goal} trolls in one run."
GOAL_SHOOT_ONLY_TROLLS,"Shoot only trolls for {goal} areas in a row."
GOAL_USE_ELEMENT_SKYLANDER,"Use a {element} Skylander."
GOAL_USE_SPECIFIC_SKYLANDER,"Use {skylander}."
GOAL_SHOOT_TROLLS_ELEMENT,"Shoot {goal} trolls with a {element} Skylander."
GOAL_SHOOT_TROLLS_ELEMENT_ONE_RUN,"Shoot {goal} trolls in one run with a {element} Skylander."
GOAL_CLEAR_AREAS_ELEMENT,"Clear {goal} areas with a {element} Skylander."
GOAL_CLEAR_AREAS_ELEMENT_ONE_RUN,"Clear {goal} areas in one run with a {element} Skylander."
GOAL_DESTROY_CRATES_ELEMENT,"Destroy {goal} crates with a {element} Skylander."
GOAL_DESTROY_CRATES_ELEMENT_ONE_RUN,"Destroy {goal} crates in one run with a {element} Skylander."
GOAL_DESTROY_BARRLES_ELEMENT,"Destroy {goal} barrels with a {element} Skylander."
GOAL_DESTROY_BARRELS_ELEMENT_ONE_RUN,"Destroy {goal} barrels in one run with a {element} Skylander."
GOAL_SHOOT_BALLOONS_ELEMENT,"Pop {goal} balloons with a {element} Skylander."
GOAL_SHOOT_BALLOONS_ELEMENT_ONE_RUN,"Pop {goal} balloons in one run with a {element} Skylander."
GOAL_SHOOT_HATS_ELEMENT,"Shoot {goal} hats with a {element} Skylander."
GOAL_SHOOT_HATS_ELEMENT_ONE_RUN,"Shoot {goal} hats in one run with a {element} Skylander."
GOAL_SHOOT_SHEEP_ELEMENT,"Shoot {goal} sheep with a {element} Skylander."
GOAL_SHOOT_SHEEP_ELEMENT_ONE_RUN,"Shoot {goal} sheep in one run with a {element} Skylander."
GOAL_SHOOT_PROJECTILES_ELEMENT,"Shoot {goal} projectiles with a {element} Skylander."
GOAL_SHOOT_PROJECTILES_ELEMENT_ONE_RUN,"Shoot {goal} projectiles in one run with a {element} Skylander."
GOAL_SHOOT_PRESENT_ELEMENT,"Shoot {goal} presents with a {element} Skylander."
GOAL_SHOOT_PRESENT_ELEMENT_ONE_RUN,"Shoot {goal} presents in one run with a {element} Skylander."
GOAL_SHOOT_FLYING_TROLL_ELEMENT,"Shoot {goal} flying trolls with a {element} Skylander."
GOAL_SHOOT_FLYING_TROLL_ELEMENT_ONE_RUN,"Shoot {goal} flying trolls in one run with a {element} Skylander."
GOAL_SHOOT_VASES_ELEMENT,"Break {goal} vases with a {element} Skylander."
GOAL_SHOOT_VASES_ELEMENT_ONE_RUN,"Break {goal} vases in one run with a {element} Skylander."
GOAL_HIDEOUTS_ELEMENT,"Clear {goal} hideouts with a {element} Skylander."
GOAL_HIDEOUTS_ELEMENT_ONE_RUN,"Clear {goal} hideouts in one run with a {element} Skylander."
GOAL_COMBOS_ELEMENT,"Get {goal} {combo}x Combos with a {element} Skylander."
GOAL_MAX_COMBOS_ELEMENT,"Get {goal} Max Combos with a {element} Skylander."
GOAL_COINS_ELEMENT,"Collect {goal} coins with a {element} Skylander."
GOAL_COINS_ELEMENT_ONE_RUN,"Collect {goal} coins in one run with a {element} Skylander."
GOAL_TAP_SHOOT_TROLL_ELEMENT,"Tap-Shoot {goal} trolls with a {element} Skylander."
GOAL_TAP_SHOOT_TROLL_ELEMENT_ONE_RUN,"Tap-Shoot {goal} trolls in one run with a {element} Skylander."
GOAL_SHOOT_TROLLS_SKYLANDER,"Shoot {goal} trolls with {skylander}."
GOAL_SHOOT_TROLLS_SKYLANDER_ONE_RUN,"Shoot {goal} trolls in one run with {skylander}."
GOAL_CLEAR_AEAS_SKYLANDER,"Clear {goal} areas with {skylander}."
GOAL_CLEAR_AREAS_SKYLANDER_ONE_RUN,"Clear {goal} areas in one run with {skylander}."
GOAL_CRATES_SKYLANDER,"Destroy {goal} crates with {skylander}."
GOAL_CRATES_SKYLANDER_ONE_RUN,"Destroy {goal} crates in one run with {skylander}."
GOAL_BARREL_SKYLANDER,"Destroy {goal} barrels with {skylander}."
GOAL_BARREL_SKYLANDER_ONE_RUN,"Destroy {goal} barrels in one run with {skylander}."
GOAL_POP_BALLOONS_SKYLANDER,"Pop {goal} balloons with {skylander}."
