Loc Tag,"Spanish"
LOADINGPANEL_LOAD,"Cargando..."
HELP_OPTIONS,"Opciones de ayuda"
HELP_TUTORIAL,"Jugar tutorial"
HELP_HELP,"Obtener ayuda"
TITLE_PLAY,"Jugar"
HELP_CREDITS,"Créditos"
HEADER_HIGH_SCORE,"Récord {0}"
HEADER_FINALSCORE,"Marca {0}"
TAB_GOALS,"Objetivos"
TAB_CHALLENGES,"Desafíos"
LOADOUT_COLLECTION,"Colección"
SALETAG_SALE,"¡Rebajas!"
LOADOUT_PLAY,"Jugar"
FOOTER_EOTD_NAG,"El elemento del día es {0}. Usa Skylanders de {0} para lograr más monedas."
HEADER_BACK,"Atrás"
SHOWDOWN_BUTTON_JOIN,"Unirse"
SHOWDOWN_BUTTON_PLAYING,"Jugando"
SHOWDOWN_BUTTON_RETRY,"Reintentar"
GENERIC_LEFT,"restante"
SHOWDOWN_CURRENT_SCORE,"Actual: {0}"
SHOWDOWN_BEST_SCORE,"Mejor: {0}"
GOAL_SKIP_PROMPT,"Saltar a {0}"
TAB_GOALS_INSTRUCTIONS,"Toca un objetivo y sáltatelo"
SHOWDOWNS_LOGGING_IN,"Iniciando sesión..."
GOAL_TUTORIAL_BASICS,"Aprende lo básico."
GOAL_TUTORIAL_MAGIC_ITEM,"Usa {goal} veces un objeto mágico."
GOAL_TUTORIAL_COMBO,"Logra {goal} maxicombos."
GOAL_SHOOT_TROLLS,"Abate {goal} trols."
GOAL_SHOOT_TROLLS_ONE_RUN,"Abate {goal} trols en una pasada."
GOAL_CLEAR_AREAS,"Despeja {goal} áreas."
GOAL_CLEAR_AREAS_ONE_RUN,"Despeja {goal} áreas en una pasada."
GOAL_DESTROY_CRATES,"Destruye {goal} cajas."
GOAL_DESTROY_CRATES_ONE_RUN,"Destruye {goal} cajas en una pasada."
GOAL_DESTROY_BARRELS,"Destruye {goal} barriles."
GOAL_DESTROY_BARRELS_ONE_RUN,"Destruye {goal} barriles en una pasada."
GOAL_POP_BALLOONS,"Estalla {goal} globos."
GOAL_POP_BALLOONS_ONE_RUN,"Estalla {goal} globos en una pasada."
GOAL_SHOOT_HATS,"Abate {goal} gorros."
GOAL_SHOOT_HATS_ONE_RUN,"Abate {goal} gorros en una pasada."
GOAL_SHOOT_SHEEP,"Abate {goal} ovejas."
GOAL_SHOOT_SHEEP_ONE_RUN,"Abate {goal} ovejas en una pasada."
GOAL_SHOOT_PROJECTILES,"Abate {goal} proyectiles."
GOAL_SHOOT_PROJECTILES_ONE_RUN,"Abate {goal} proyectiles en una pasada."
GOAL_SHOOT_PRESENTS,"Abate {goal} regalos."
GOAL_SHOOT_PRESENTS_ONE_RUN,"Destruye {goal} regalos en una pasada."
GOAL_SHOOT_TROLLS_FLYING,"Abate {goal} trols voladores."
GOAL_SHOOT_TROLLS_FLYING_ONE_RUN,"Abate {goal} trols voladores en una pasada."
GOAL_SHOOT_VASES,"Rompe {goal} jarros."
GOAL_SHOOT_VASES_ONE_RUN,"Rompe {goal} jarros en una pasada."
GOAL_CLEAR_HIDEOUT,"Limpia una guarida."
GOAL_CLEAR_HIDEOUTS,"Despeja {goal} guaridas."
GOAL_CLEAR_HIDEOUTS_ONE_RUN,"Despeja {goal} guaridas en una pasada."
GOAL_USE_ANY_MAGIC_ITEM,"Usa {goal} veces un objeto mágico."
GOAL_USE_ANY_MAGIC_ITEM_ONE_RUN,"Usa {goal} veces un objeto mág. en una pasada."
GOAL_USE_SPECIFIC_MAGIC_ITEM,"Usa el objeto mágico {magicItem}."
GOAL_USE_MIN_LEVEL_MAGIC_ITEM,"Usa un objeto mágico de nivel {level} o superior."
GOAL_GET_COMBOS,"Logra {goal} combos {combo}x."
GOAL_GET_MAX_COMBOS,"Logra {goal} maxicombos."
GOAL_GET_COMBOS_ONE_RUN,"Logra {goal} combos {combo}x en una pasada."
GOAL_GET_MAX_COMBOS_ONE_RUN,"Logra {goal} maxicombos en una pasada."
GOAL_GET_MIN_COMBOS,"Logra {goal} combos {combo}x o superiores."
GOAL_GET_MIN_COMBOS_ONE_RUN,"Logra {goal} combos {combo}x o más en una pasada."
GOAL_COLLECT_COINS,"Recoge {goal} monedas."
GOAL_COLLECT_COINS_ONE_RUN,"Recoge {goal} monedas en una pasada."
GOAL_TAP_TROLLS,"Caza tocando {goal} trols."
GOAL_TAP_TROLLS_ONE_RUN,"Caza tocando {goal} trols en una pasada."
GOAL_SHOOT_ONLY_TROLLS,"Abate solo trols en {goal} áreas seguidas."
GOAL_USE_ELEMENT_SKYLANDER,"Usa un Skylander de {element}."
GOAL_USE_SPECIFIC_SKYLANDER,"Usa a {skylander}."
GOAL_SHOOT_TROLLS_ELEMENT,"Abate {goal} trols con un Skylander de {element}."
GOAL_SHOOT_TROLLS_ELEMENT_ONE_RUN,"Abate {goal} trols en una pasada con un Skylander de {element}."
GOAL_CLEAR_AREAS_ELEMENT,"Despeja {goal} áreas con un Skylander de {element}."
GOAL_CLEAR_AREAS_ELEMENT_ONE_RUN,"Despeja {goal} áreas en una pasada con un Skylander de {element}."
GOAL_DESTROY_CRATES_ELEMENT,"Destruye {goal} cajas con un Skylander de {element}."
GOAL_DESTROY_CRATES_ELEMENT_ONE_RUN,"Destruye {goal} cajas en una pasada con un Skylander de {element}."
GOAL_DESTROY_BARRLES_ELEMENT,"Destruye {goal} barriles con un Skylander de {element}."
GOAL_DESTROY_BARRELS_ELEMENT_ONE_RUN,"Destruye {goal} barriles en una pasada con un Skylander de {element}."
GOAL_SHOOT_BALLOONS_ELEMENT,"Estalla {goal} globos con un Skylander de {element}."
GOAL_SHOOT_BALLOONS_ELEMENT_ONE_RUN,"Estalla {goal} globos en una pasada con un Skylander de {element}."
GOAL_SHOOT_HATS_ELEMENT,"Abate {goal} gorros con un Skylander de {element}."
GOAL_SHOOT_HATS_ELEMENT_ONE_RUN,"Abate {goal} gorros en una pasada con un Skylander de {element}."
GOAL_SHOOT_SHEEP_ELEMENT,"Abate {goal} ovejas con un Skylander de {element}."
GOAL_SHOOT_SHEEP_ELEMENT_ONE_RUN,"Abate {goal} ovejas en una pasada con un Skylander de {element}."
GOAL_SHOOT_PROJECTILES_ELEMENT,"Abate {goal} proyectiles con un Skylander de {element}."
GOAL_SHOOT_PROJECTILES_ELEMENT_ONE_RUN,"Abate {goal} proyectiles en una pasada con un Skylander de {element}."
GOAL_SHOOT_PRESENT_ELEMENT,"Abate {goal} regalos con un Skylander de {element}."
GOAL_SHOOT_PRESENT_ELEMENT_ONE_RUN,"Abate {goal} regalos en una pasada con un Skylander de {element}."
GOAL_SHOOT_FLYING_TROLL_ELEMENT,"Abate {goal} trols voladores con un Skylander de {element}."
GOAL_SHOOT_FLYING_TROLL_ELEMENT_ONE_RUN,"Abate {goal} trols voladores en una pasada con un Skylander de {element}."
GOAL_SHOOT_VASES_ELEMENT,"Rompe {goal} jarrones con un Skylander de {element}."
GOAL_SHOOT_VASES_ELEMENT_ONE_RUN,"Rompe {goal} jarrones en una pasada con un Skylander de {element}."
GOAL_HIDEOUTS_ELEMENT,"Despeja {goal} guaridas con un Skylander de {element}."
GOAL_HIDEOUTS_ELEMENT_ONE_RUN,"Despeja {goal} guaridas en una pasada con un Skylander de {element}."
GOAL_COMBOS_ELEMENT,"Logra {goal} combos {combo}x con un Skylander de {element}."
GOAL_MAX_COMBOS_ELEMENT,"Logra {goal} maxicombos con un Skylander de {element}."
GOAL_COINS_ELEMENT,"Recoge {goal} monedas con un Skylander de {element}."
GOAL_COINS_ELEMENT_ONE_RUN,"Recoge {goal} monedas en una pasada con un Skylander de {element}."
GOAL_TAP_SHOOT_TROLL_ELEMENT,"Caza tocando {goal} trols con un Skylander de {element}."
GOAL_TAP_SHOOT_TROLL_ELEMENT_ONE_RUN,"Caza tocando {goal} trols en una pasada con un Skylander de {element}."
GOAL_SHOOT_TROLLS_SKYLANDER,"Abate {goal} trols con {skylander}."
GOAL_SHOOT_TROLLS_SKYLANDER_ONE_RUN,"Abate {goal} trols en una pasada con {skylander}."
GOAL_CLEAR_AEAS_SKYLANDER,"Despeja {goal} áreas con {skylander}."
GOAL_CLEAR_AREAS_SKYLANDER_ONE_RUN,"Despeja {goal} áreas en una pasada con {skylander}."
GOAL_CRATES_SKYLANDER,"Destruye {goal} cajas con {skylander}."
GOAL_CRATES_SKYLANDER_ONE_RUN,"Destruye {goal} cajas en una pasada con {skylander}."
GOAL_BARREL_SKYLANDER,"Destruye {goal} barriles con {skylander}."
GOAL_BARREL_SKYLANDER_ONE_RUN,"Destruye {goal} barriles en una pasada con {skylander}."
GOAL_POP_BALLOONS_SKYLANDER,"Estalla {goal} globos con {skylander}."
GOAL_POP_BALLOONS_SKYLANDER_ONE_RUN,"Estalla {goal} globos en una pasada con {skylander}."
GOAL_HATS_SKYLANDER,"Abate {goal} sombreros con {skylander}."
GOAL_HATS_SKYLANDER_ONE_RUN,"Abate {goal} sombreros en una pasada con {skylander}."
GOAL_SHEEP_SKYLANDER,"Abate {goal} ovejas con {skylander}."
GOAL_SHEEP_SKYLANDER_ONE_RUN,"Abate {goal} ovejas en una pasada con {skylander}."
GOAL_PROJECTILES_SKYLANDER,"Abate {goal} proyectiles con {skylander}."
GOAL_PROJECTILES_SKYLANDER_ONE_RUN,"Abate {goal} proyectiles en una pasada con {skylander}."
GOAL_PRESENTS_SKYLANDER,"Abate {goal} regalos con {skylander}."
GOAL_PRESENTS_SKYLANDER_ONE_RUN,"Abate {goal} regalos en una pasada con {skylander}."
GOAL_FLYING_TROLLS_SKYLANDER,"Abate {goal} trols voladores con {skylander}."
GOAL_FLYING_TROLLS_SKYLANDER_ONE_RUN,"Abate {goal} trols voladores en una pasada con {skylander}."
GOAL_VASES_SKYLANDER,"Rompe {goal} jarrones con {skylander}."
GOAL_VASES_SKYLANDER_ONE_RUN,"Rompe {goal} jarrones en una pasada con {skylander}."
GOAL_HIDEOUTS_SKYLANDER,"Despeja {goal} guaridas con {skylander}."
GOAL_HIDEOUTS_SKYLANDER_ONE_RUN,"Despeja {goal} guaridas en una pasada con {skylander}."
GOAL_COMBOS_SKYLANDER,"Logra {goal} combos {combo}x con {skylander}."
GOAL_COMBOS_SKYLANDER_ONE_RUN,"Logra {goal} maxicombos con {skylander}."
GOAL_COINS_SKYLANDER,"Recoge {goal} monedas con {skylander}."
GOAL_COINS_SKYLANDER_ONE_RUN,"Recoge {goal} monedas en una pasada con {skylander}."
GOAL_TAP_TROLLS_SKYLANDER,"Caza tocando {goal} trols con {skylander}."
GOAL_TAP_TROLLS_SKYLANDER_ONE_RUN,"Caza tocando {goal} trols en una pasada con {skylander}."
GOAL_EXPLOSIVE_BARRELS,"Destruye {goal} barriles explosivos."
GOAL_EXPLOSIVE_BARRELS_ONE_RUN,"Destruye {goal} barriles explosivos en una pasada."
GOAL_EXPLOSIVE_BARRELS_ELEMENT,"Destruye {goal} barriles explosivos con un Skylander de {element}."
GOAL_ELEMENTAL_COINS,"Obtén {goal} monedas elementales."
SHOWDOWN_NAME_TROLLPOCALYPSE,"Trolapocalipsis"
SHOWDOWN_NAME_PERFECT_RUN,"Racha perfecta"
SHOWDOWN_NAME_HAT_HUSTLER,"Buscasombreros"
SHOWDOWN_NAME_SPEEP_SNIPER,"Cazaovejas"
SHOWDOWN_NAME_BOMB_SQUAD,"Artificieros"
SHOWDOWN_NAME_OH_SHINY,"¡Qué brillante!"
SHOWDOWN_NAME_FAVORITE_NUMBER,"Mi número favorito"
SHOWDOWN_NAME_THE_SLOG,"Palizón"
SHOWDOWN_NAME_PARTY_POOPER,"Aguafiestas"
SHOWDOWN_NAME_COMBO_CRUNCH,"Combocrisis"
SHOWDOWN_NAME_SHOT_SHOOTER,"Tirador"
SHOWDOWN_NAME_MAGICIAN,"Mago"
SHOWDOWN_NAME_CAPT_COMBO,"Capitán Combo"
SHOWDOWN_NAME_27_PROBLEMS,"27 problemas"
SHOWDOWN_NAME_OUT_TO_PASTURE,"A pacer"
SHOWDOWN_NAME_SCROOGE,"Tacaño"
SHOWDOWN_NAME_PROTECT_THIS,"¡Protege esto!"
SHOWDOWN_NAME_MAD_MAX,"Mad Max"
SHOWDOWN_NAME_WIZARD_WACE,"Hechicería"
SHOWDOWN_NAME_THE_DISTANCE,"La distancia"
SHOWDOWN_NAME_WALK_THE_LINE,"Cuerda floja"
SHOWDOWN_NAME_BAD_NEWS,"Malas noticias"
SHOWDOWN_NAME_SWORDLESS,"Sin espada"
SHOWDOWN_NAME_PROFIT_PARTY,"Fiesta benéfica"
SHOWDOWN_DESC_TROLLPOCALYPSE,"Abate más trols que nadie."
SHOWDOWN_DESC_PERFECT_RUN,"Logra más puntos en una pasada."
SHOWDOWN_DESC_HAT_HUSTLER,"Abate más sombreros en 5 minutos."
SHOWDOWN_DESC_SPEEP_SNIPER,"Acaba perfectas 2 salas adicionales."
SHOWDOWN_DESC_BOMB_SQUAD,"Destruye 20 bombas cuanto antes."
SHOWDOWN_DESC_OH_SHINY,"Recoge más monedas elementales."
SHOWDOWN_DESC_FAVORITE_NUMBER,"Acaba una pasada cerca de 123 456 puntos."
SHOWDOWN_DESC_THE_SLOG,"Despeja más áreas."
SHOWDOWN_DESC_PARTY_POOPER,"Abate más globos en 15 minutos."
SHOWDOWN_DESC_COMBO_CRUNCH,"Recoge 100 monedas de combo cuanto antes."
SHOWDOWN_DESC_SHOT_SHOOTER,"Destruye 50 proyectiles cuanto antes."
SHOWDOWN_DESC_MAGICIAN,"Obtén más puntos con objetos mágicos en 15 minutos."
SHOWDOWN_DESC_CAPT_COMBO,"Obtén más maxicombos en 10 minutos."
SHOWDOWN_DESC_27_PROBLEMS,"Muere más veces en el área 27."
SHOWDOWN_DESC_OUT_TO_PASTURE,"Abate más ovejas en 10 minutos."
SHOWDOWN_DESC_SCROOGE,"Recoge más monedas en una pasada."
SHOWDOWN_DESC_PROTECT_THIS,"Abate más trols protectores en 30 minutos."
SHOWDOWN_DESC_MAD_MAX,"Obtén más maxicombos en 1 pasada."
