Loc Tag,"French"
LOADINGPANEL_LOAD,"Chargement..."
HELP_OPTIONS,"Options d'aide"
HELP_TUTORIAL,"Jouer au didacticiel"
HELP_HELP,"Aide"
TITLE_PLAY,"Jouer"
HELP_CREDITS,"Crédits"
HEADER_HIGH_SCORE,"Record {0}"
HEADER_FINALSCORE,"Score {0}"
TAB_GOALS,"Objectifs"
TAB_CHALLENGES,"Défis"
LOADOUT_COLLECTION,"Collection"
SALETAG_SALE,"Promo !"
LOADOUT_PLAY,"Jouer"
FOOTER_EOTD_NAG,"L'élément du jour est : {0}. Utilise des Skylanders de type {0} pour gagner plus de pièces!"
HEADER_BACK,"Retour"
SHOWDOWN_BUTTON_JOIN,"Rejoindre"
SHOWDOWN_BUTTON_PLAYING,"Joue"
SHOWDOWN_BUTTON_RETRY,"Réessayer"
GENERIC_LEFT,"restantes"
SHOWDOWN_CURRENT_SCORE,"Actuel : {0}"
SHOWDOWN_BEST_SCORE,"Record : {0}"
GOAL_SKIP_PROMPT,"Passe pour {0}"
TAB_GOALS_INSTRUCTIONS,"Pointe un objectif pour passer"
SHOWDOWNS_LOGGING_IN,"Connexion..."
GOAL_TUTORIAL_BASICS,"Apprends les bases."
GOAL_TUTORIAL_MAGIC_ITEM,"Utilise un objet magique {goal} fois."
GOAL_TUTORIAL_COMBO,"Obtiens {goal} combos max."
GOAL_SHOOT_TROLLS,"Abats {goal} Trolls."
GOAL_SHOOT_TROLLS_ONE_RUN,"Abats {goal} Trolls en un passage."
GOAL_CLEAR_AREAS,"Termine {goal} zones."
GOAL_CLEAR_AREAS_ONE_RUN,"Termine {goal} zones en un passage."
GOAL_DESTROY_CRATES,"Détruis {goal} caisses."
GOAL_DESTROY_CRATES_ONE_RUN,"Détruis {goal} caisses en un passage."
GOAL_DESTROY_BARRELS,"Détruis {goal} tonneaux."
GOAL_DESTROY_BARRELS_ONE_RUN,"Détruis {goal} tonneaux en un passage."
GOAL_POP_BALLOONS,"Perce {goal} ballons."
GOAL_POP_BALLOONS_ONE_RUN,"Perce {goal} ballons en un passage."
