Loc Tag,"Italian"
LOADINGPANEL_LOAD,"Caricamento..."
HELP_OPTIONS,"Opzioni guida"
HELP_TUTORIAL,"Gioca tutorial"
HELP_HELP,"Aiuto"
TITLE_PLAY,"Gioca"
HELP_CREDITS,"Riconoscimenti"
HEADER_HIGH_SCORE,"Record"
HEADER_FINALSCORE,"Punti {0}"
TAB_GOALS,"Obiettivi"
TAB_CHALLENGES,"Sfide"
LOADOUT_COLLECTION,"Collezione"
SALETAG_SALE,"Saldi!"
LOADOUT_PLAY,"Gioca"
FOOTER_EOTD_NAG,"L'Elemento del giorno è {0}. Usa Skylanders {0} per un bonus in monete!"
HEADER_BACK,"Prec."
SHOWDOWN_BUTTON_JOIN,"Entra"
SHOWDOWN_BUTTON_PLAYING,"Gioca"
SHOWDOWN_BUTTON_RETRY,"Riprova"
GENERIC_LEFT,"rim."
SHOWDOWN_CURRENT_SCORE,"Attuale: {0}"
SHOWDOWN_BEST_SCORE,"Migliore: {0}"
GOAL_SKIP_PROMPT,"Salta per {0}"
TAB_GOALS_INSTRUCTIONS,"Tocca un obiettivo per saltarlo"
SHOWDOWNS_LOGGING_IN,"Accesso..."
GOAL_TUTORIAL_BASICS,"Impara le basi."
GOAL_TUTORIAL_MAGIC_ITEM,"Usa 1 Oggetto magico {goal} volte."
GOAL_TUTORIAL_COMBO,"Esegui {goal} combo Max."
GOAL_SHOOT_TROLLS,"Centra {goal} troll."
GOAL_SHOOT_TROLLS_ONE_RUN,"Centra {goal} troll di seguito."
GOAL_CLEAR_AREAS,"Libera {goal} aree."
GOAL_CLEAR_AREAS_ONE_RUN,"Libera {goal} aree di seguito."
GOAL_DESTROY_CRATES,"Distruggi {goal} casse."
GOAL_DESTROY_CRATES_ONE_RUN,"Distruggi {goal} casse di seguito."
GOAL_DESTROY_BARRELS,"Distruggi {goal} barili."
GOAL_DESTROY_BARRELS_ONE_RUN,"Distruggi {goal} barili di seguito."
GOAL_POP_BALLOONS,"Buca {goal} palloncini."
GOAL_POP_BALLOONS_ONE_RUN,"Buca {goal} palloncini di seguito."
GOAL_SHOOT_HATS,"Centra {goal} cappelli."
GOAL_SHOOT_HATS_ONE_RUN,"Centra {goal} cappelli di seguito."
GOAL_SHOOT_SHEEP,"Centra {goal} pecore."
GOAL_SHOOT_SHEEP_ONE_RUN,"Centra {goal} pecore di seguito."
GOAL_SHOOT_PROJECTILES,"Centra {goal} proiettili."
GOAL_SHOOT_PROJECTILES_ONE_RUN,"Centra {goal} proiettili di seguito."
GOAL_SHOOT_PRESENTS,"Centra {goal} regali."
GOAL_SHOOT_PRESENTS_ONE_RUN,"Centra {goal} regali di seguito."
GOAL_SHOOT_TROLLS_FLYING,"Centra {goal} troll volanti."
GOAL_SHOOT_TROLLS_FLYING_ONE_RUN,"Centra {goal} troll volanti di seguito."
GOAL_SHOOT_VASES,"Rompi {goal} vasi."
GOAL_SHOOT_VASES_ONE_RUN,"Rompi {goal} vasi di seguito."
GOAL_CLEAR_HIDEOUT,"Libera una tana."
GOAL_CLEAR_HIDEOUTS,"Libera {goal} tane."
GOAL_CLEAR_HIDEOUTS_ONE_RUN,"Libera {goal} tane di seguito."
GOAL_USE_ANY_MAGIC_ITEM,"Usa 1 Oggetto magico {goal} volte."
GOAL_USE_ANY_MAGIC_ITEM_ONE_RUN,"Usa 1 Oggetto magico {goal} volte di seguito."
GOAL_USE_SPECIFIC_MAGIC_ITEM,"Usa l'Oggetto magico {magicItem}."
GOAL_USE_MIN_LEVEL_MAGIC_ITEM,"Usa un Oggetto magico liv. {level} o più."
GOAL_GET_COMBOS,"Esegui {goal} combo {combo}x."
GOAL_GET_MAX_COMBOS,"Esegui {goal} combo Max."
GOAL_GET_COMBOS_ONE_RUN,"Esegui {goal} combo {combo}x di seguito."
GOAL_GET_MAX_COMBOS_ONE_RUN,"Esegui {goal} combo Max di seguito."
GOAL_GET_MIN_COMBOS,"Esegui {goal} combo {combo}x o superiori."
GOAL_GET_MIN_COMBOS_ONE_RUN,"Esegui {goal} combo {combo}x o superiori di seguito."
GOAL_COLLECT_COINS,"Raccogli {goal} monete."
GOAL_COLLECT_COINS_ONE_RUN,"Raccogli {goal} monete di seguito."
GOAL_TAP_TROLLS,"Tocca {goal} troll."
GOAL_TAP_TROLLS_ONE_RUN,"Tocca {goal} troll di seguito."
GOAL_SHOOT_ONLY_TROLLS,"Colpisci solo troll per {goal} aree di seguito."
GOAL_USE_ELEMENT_SKYLANDER,"Usa uno Skylander {element}."
GOAL_USE_SPECIFIC_SKYLANDER,"Usa {skylander}."
GOAL_SHOOT_TROLLS_ELEMENT,"Centra {goal} troll con uno Skylander {element}."
GOAL_SHOOT_TROLLS_ELEMENT_ONE_RUN,"Centra {goal} troll di seguito con uno Skylander {element}."
GOAL_CLEAR_AREAS_ELEMENT,"Libera {goal} aree con uno Skylander {element}."
GOAL_CLEAR_AREAS_ELEMENT_ONE_RUN,"Libera {goal} aree di seguito con uno Skylander {element}."
GOAL_DESTROY_CRATES_ELEMENT,"Distruggi {goal} casse con uno Skylander {element}."
GOAL_DESTROY_CRATES_ELEMENT_ONE_RUN,"Distruggi {goal} casse di seguito con uno Skylander {element}."
GOAL_DESTROY_BARRLES_ELEMENT,"Distruggi {goal} barili con uno Skylander {element}."
GOAL_DESTROY_BARRELS_ELEMENT_ONE_RUN,"Distruggi {goal} barili di seguito con uno Skylander {element}."
GOAL_SHOOT_BALLOONS_ELEMENT,"Buca {goal} palloncini con uno Skylander {element}."
GOAL_SHOOT_BALLOONS_ELEMENT_ONE_RUN,"Buca {goal} palloncini di seguito con uno Skylander {element}."
GOAL_SHOOT_HATS_ELEMENT,"Centra {goal} cappelli con uno Skylander {element}."
GOAL_SHOOT_HATS_ELEMENT_ONE_RUN,"Centra {goal} cappelli di seguito con uno Skylander {element}."
GOAL_SHOOT_SHEEP_ELEMENT,"Centra {goal} pecore con uno Skylander {element}."
GOAL_SHOOT_SHEEP_ELEMENT_ONE_RUN,"Centra {goal} pecore di seguito con uno Skylander {element}."
GOAL_SHOOT_PROJECTILES_ELEMENT,"Centra {goal} proiettili con uno Skylander {element}."
GOAL_SHOOT_PROJECTILES_ELEMENT_ONE_RUN,"Centra {goal} proiettili di seguito con uno Skylander {element}."
GOAL_SHOOT_PRESENT_ELEMENT,"Centra {goal} regali con uno Skylander {element}."
GOAL_SHOOT_PRESENT_ELEMENT_ONE_RUN,"Centra {goal} regali di seguito con uno Skylander {element}."
GOAL_SHOOT_FLYING_TROLL_ELEMENT,"Centra {goal} troll volanti con uno Skylander {element}."
GOAL_SHOOT_FLYING_TROLL_ELEMENT_ONE_RUN,"Centra {goal} troll volanti di seguito con uno Skylander {element}."
GOAL_SHOOT_VASES_ELEMENT,"Rompi {goal} vasi con uno Skylander {element}."
GOAL_SHOOT_VASES_ELEMENT_ONE_RUN,"Rompi {goal} vasi di seguito con uno Skylander {element}."
GOAL_HIDEOUTS_ELEMENT,"Libera {goal} tane con uno Skylander {element}."
GOAL_HIDEOUTS_ELEMENT_ONE_RUN,"Libera {goal} tane di seguito con uno Skylander {element}."
GOAL_COMBOS_ELEMENT,"Esegui {goal} combo {combo}x con uno Skylander {element}."
GOAL_MAX_COMBOS_ELEMENT,"Esegui {goal} combo Max con uno Skylander {element}."
GOAL_COINS_ELEMENT,"Raccogli {goal} monete con uno Skylander {element}."
GOAL_COINS_ELEMENT_ONE_RUN,"Raccogli {goal} monete di seguito con uno Skylander {element}."
GOAL_TAP_SHOOT_TROLL_ELEMENT,"Tocca {goal} troll con uno Skylander {element}."
GOAL_TAP_SHOOT_TROLL_ELEMENT_ONE_RUN,"Tocca {goal} troll di seguito con uno Skylander {element}."
GOAL_SHOOT_TROLLS_SKYLANDER,"Centra {goal} troll con {skylander}."
GOAL_SHOOT_TROLLS_SKYLANDER_ONE_RUN,"Centra {goal} troll di seguito con {skylander}."
GOAL_CLEAR_AEAS_SKYLANDER,"Libera {goal} aree con {skylander}."
GOAL_CLEAR_AREAS_SKYLANDER_ONE_RUN,"Libera {goal} aree di seguito con {skylander}."
